hwID,utcTime,sourceID,bucketCamera,d2Dmode,LED1,LED2,rearCamera,leftCamera,rightCamera,comments,statusCalc,lastRevisionDate,lastRevisionBy,alarmRateMTDL,alarmRateLSM,totalLogsMTDL,totalLogsLSM,totalCycles,Is2D,totalLogsFM,totalLogsWM,stereoCamera,lcsStatus,hasLCS,LEDLights,faultyLED,hwStatusMC,hwStatusNonMC,MainStatusMC,MainStatusNonMC,customerDiagnostic
3290,"Thu, 11 Apr 2024 08:25:30 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,0,Bucket Camera need to be cleaned.,AVERAGE,Thu Apr 11 2024 10:25:30 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,289,280,267,NULL,161,22,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3418,"Fri, 12 Apr 2024 08:17:10 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Fri Apr 12 2024 10:17:10 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,447,438,506,NULL,321,38,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3419,"Fri, 12 Apr 2024 08:17:21 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Fri Apr 12 2024 10:17:21 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,447,438,506,NULL,321,38,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3597,"Mon, 15 Apr 2024 03:47:49 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Mon, 15 Apr 2024 03:47:47 GMT]",AVERAGE,Mon Apr 15 2024 11:47:49 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
3628,"Mon, 15 Apr 2024 11:07:50 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Mon Apr 15 2024 13:07:50 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,707,694,808,NULL,497,57,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
,,,,,,,,,,https://escogroup.lightning.force.com/lightning/r/Case/500Do00000JgFsoIAF/view,,,,,,,,,,,,,,,,,,,,,
3718,"Tue, 16 Apr 2024 05:56:59 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Tue, 16 Apr 2024 05:56:56 GMT]",AVERAGE,Tue Apr 16 2024 13:56:59 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
,,,,,,,,,,We have had the LCS turned off. Contractor will clean camera and we will monitor its performance.,,,,,,,,,,,,,,,,,,,,,
3753,"Tue, 16 Apr 2024 11:40:45 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Tue Apr 16 2024 13:40:45 GMT+0200 (South Africa Standard Time),Jakkie Page,2.45%,0%,571,557,629,NULL,412,105,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3845,"Wed, 17 Apr 2024 12:46:51 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Wed Apr 17 2024 14:46:51 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,372,310,456,NULL,321,65,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3906,"Wed, 17 Apr 2024 17:34:58 GMT",060-220923-MCM-020-053,1,FALSE,0,0,1,0,0,"Left Mono is dirty, site has been asked to clean it. LCS is not installed, site has been asked to accommodate installation.",AVERAGE,Wed Apr 17 2024 10:34:58 GMT-0700 (Pacific Daylight Time),Malcolm Brown,0%,0.12%,1006,857,1040,NULL,747,178,,1,FALSE,,,GOOD,GOOD,AVERAGE,,
3922,"Thu, 18 Apr 2024 02:11:00 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Thu, 18 Apr 2024 02:10:50 GMT]",AVERAGE,Thu Apr 18 2024 10:11:00 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
3952,"Fri, 19 Apr 2024 02:03:59 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Fri, 19 Apr 2024 02:03:56 GMT]",AVERAGE,Fri Apr 19 2024 10:03:59 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
3024-220331 Kevitsa FS302,"Fri, 19 Apr 2024 03:50:40 GMT",060-220923-MCM-020-053,1,FALSE,0,0,1,1,1,"[Mandana Mazaheri][Fri, 19 Apr 2024 03:50:00 GMT] Left mono and all SURX cameras need claening",WRONG,Thu Apr 18 2024 20:50:40 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,0%,0%,737,643,755,NULL,442,250,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3977,"Fri, 19 Apr 2024 03:51:53 GMT",060-220923-MCM-020-053,1,FALSE,0,0,1,1,1,"[Mandana Mazaheri][Fri, 19 Apr 2024 03:50:00 GMT] Left mono and all SURX cameras need claening",WRONG,Thu Apr 18 2024 20:51:53 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,0%,0%,737,643,755,NULL,442,250,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3978,"Fri, 19 Apr 2024 03:52:03 GMT",060-220923-MCM-020-053,1,FALSE,0,0,1,1,1,"[Mandana Mazaheri][Fri, 19 Apr 2024 03:50:00 GMT] Left mono and all SURX cameras need cleaning",WRONG,Thu Apr 18 2024 20:52:03 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,0%,0%,737,643,755,NULL,442,250,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3979,"Fri, 19 Apr 2024 03:53:34 GMT",060-220923-MCM-020-053,1,FALSE,0,0,1,1,1,"[Mandana Mazaheri][Fri, 19 Apr 2024 03:50:00 GMT] Left mono and all SURX cameras need cleaning",WRONG,Thu Apr 18 2024 20:53:34 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,0%,0%,737,643,755,NULL,442,250,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3992,"Fri, 19 Apr 2024 04:30:53 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Mandana Mazaheri][Fri, 19 Apr 2024 04:21:23 GMT] Dirty color camera, site has been asked for cleaning. LED adjustment is needed.",WRONG,Thu Apr 18 2024 21:30:53 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,2.02%,1.32%,840,378,1205,NULL,N/A,14,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3993,"Fri, 19 Apr 2024 04:30:55 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Mandana Mazaheri][Fri, 19 Apr 2024 04:21:23 GMT] Dirty color camera, site has been asked for cleaning. LED adjustment is needed.",WRONG,Thu Apr 18 2024 21:30:55 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,2.02%,1.32%,840,378,1205,NULL,N/A,14,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3995,"Fri, 19 Apr 2024 04:34:01 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Mandana Mazaheri][Fri, 19 Apr 2024 04:21:23 GMT] High false positive due to LED misalignment and dirty color camera, site has been asked for cleaning and adjustment.",WRONG,Thu Apr 18 2024 21:34:01 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,1.79%,1.32%,838,378,1199,NULL,N/A,14,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3996,"Fri, 19 Apr 2024 04:34:04 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Mandana Mazaheri][Fri, 19 Apr 2024 04:21:23 GMT] High false positive due to LED misalignment and dirty color camera, site has been asked for cleaning and adjustment.",WRONG,Thu Apr 18 2024 21:34:04 GMT-0700 (Pacific Daylight Time),Mandana Mazaheri,1.79%,1.32%,838,378,1199,NULL,N/A,14,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
4025,"Fri, 19 Apr 2024 09:04:02 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Fri Apr 19 2024 11:04:02 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,640,563,684,NULL,534,102,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
4159,"Mon, 22 Apr 2024 01:41:07 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Mon, 22 Apr 2024 01:40:38 GMT]",AVERAGE,Mon Apr 22 2024 09:41:07 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
4161,"Mon, 22 Apr 2024 01:48:42 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Mon, 22 Apr 2024 01:40:38 GMT]",AVERAGE,Mon Apr 22 2024 09:48:42 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
4206,"Mon, 22 Apr 2024 11:08:31 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,1,0,Bucket Camera and left surveillance camera need to be cleaned.,AVERAGE,Mon Apr 22 2024 13:08:31 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,185,167,207,NULL,54,10,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
